"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-17","74","H,,S","81",",,W","66",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-18","67","H,,S","71",",,W","65",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-19","74","H,,S","89",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-20","72","H,,S","75",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-21","77","H,,S","90",",,W","71",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-22","82","H,,S","89",",,W","74",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-23","79","H,,S","89",",,W","72",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-24","79","H,,S","86",",,W","69",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-25","76","H,,S","82",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-26","74","H,,S","81",",,W","69",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-27","68","H,,S","71",",,W","62",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-28","67","H,,S","76",",,W","64",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-29","72","H,,S","79",",,W","64",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-30","73","H,,S","81",",,W","66",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-01","76","H,,S","85",",,W","71",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-02","77","H,,S","80",",,W","69",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-03","73","H,,S","82",",,W","65",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-04","73","H,,S","80",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-05","74","H,,S","81",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-06","75","H,,S","83",",,W","69",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-07","78","H,,S","84",",,W","74",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-08","80","H,,S","89",",,W","74",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-09","75","H,,S","77",",,W","72",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-10","77","H,,S","86",",,W","73",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-11","78","H,,S","86",",,W","70",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-07-12","78","H,,S","86",",,W","71",",,W"
